t,W,Q,H,S,A,P
61 days,253.9795125,687.7762625,263.99120000000005,0.00023152354328644326,645.7528499999999,
61 days,236.1803125,688.700075,262.5373125,0.00022971493063360577,665.3321625,
62 days,231.2510777777778,686.5514888888888,265.74813333333327,0.0001808033078559656,747.8046333333333,
62 days,233.57398571428573,686.7826285714285,264.9148714285714,0.00014921625596327393,755.9530000000001,
62 days,253.83537500000003,686.9188999999999,263.98748750000004,0.00023193849917007604,644.9435249999999,
62 days,235.94288749999998,686.965775,262.5296625,0.0002304561779376082,663.6417499999999,
63 days,228.74751111111112,648.1313555555556,265.6368777777777,0.0001790421067167871,722.2198111111112,
63 days,231.75422857142854,650.344257142857,264.8143428571429,0.00014737154950218655,732.5640857142856,
63 days,246.25897500000002,652.7392375000001,263.8976375,0.00023091202935266602,625.4762125,
63 days,232.54523749999998,655.498025,262.43986250000006,0.00022957146341346968,643.8241375,
64 days,227.93901111111114,640.408811111111,265.6003222222223,0.00018098343069973397,713.8878333333333,
64 days,230.9202285714286,640.4040857142857,264.7676857142857,0.00014962619073240283,721.7639285714287,
64 days,243.15134999999998,640.4045125,263.82833750000003,0.00024076177164322038,610.6320750000001,
64 days,225.6028,640.3476125,262.3838,0.00022359366257465653,631.6237875000002,
65 days,231.6780888888889,694.3115222222222,265.7669444444444,0.00018164388112693018,752.1602777777778,
65 days,233.83805714285714,693.1367857142858,264.92942857142856,0.00014985677904003877,759.3497142857143,
65 days,254.26193750000002,691.9335249999999,263.99794999999995,0.00023270289158731,647.2304125,
65 days,236.215375,690.357475,262.53688750000003,0.00023088657959800286,665.2487125,
66 days,231.75621111111116,694.5724444444445,265.7705666666667,0.0001811835671928289,752.9953666666665,
66 days,233.9399142857143,694.1600571428571,264.93512857142855,0.00014954932796319573,760.6836714285715,
66 days,254.5624375,693.9115125,264.00565,0.00023211321743687663,648.9055500000001,
66 days,236.6900375,693.7945874999999,262.552475,0.00022949972980340844,668.6918375,
67 days,233.2519,717.5970444444444,265.8370444444444,0.00018186403126932893,768.4505555555554,
67 days,235.0523285714286,716.7260571428571,264.9966285714286,0.00015057416488601071,775.1049857142858,
67 days,256.8310875,715.93965,264.0598125,0.00023337992487114368,660.7689124999999,
67 days,238.47705000000002,715.0599125000001,262.6108125,0.00022906932814300017,681.6475499999999,
68 days,233.83735555555555,725.9118666666667,265.86323333333337,0.00018172393572415678,774.5593333333333,
68 days,235.5233714285714,725.6238428571429,265.0227,0.00015072789042443953,781.2412571428571,
68 days,257.87654999999995,725.3922875,264.08477500000004,0.00023353280335458798,666.2546500000001,
68 days,239.40076249999998,725.1779750000001,262.64175000000006,0.00022804114639873917,688.5364,
69 days,235.3427666666667,750.7096111111109,265.93002222222225,0.00018286471373476945,790.2338333333332,
69 days,236.6058857142857,748.831442857143,265.08245714285715,0.000151983315654905,795.3553,
69 days,260.05461249999996,747.1985625,264.1362875,0.00023497422905565562,677.6471499999999,
69 days,241.0479375,745.457775,262.6951875,0.00022787376797524028,700.482075,
70 days,237.49311111111112,781.5876333333333,266.02580000000006,0.0001819640995158707,812.8553999999999,
70 days,238.35054285714287,782.723757142857,265.1791428571429,0.000152342008577891,818.3162285714286,
70 days,263.93242499999997,783.504275,264.22878749999995,0.0002352363064558441,698.250075,
70 days,244.67012499999998,784.0224000000001,262.80835,0.000224693577929006,725.8847625,
71 days,231.9107444444444,693.2814555555556,265.77792222222223,0.00017934231145641242,754.6805777777778,
71 days,234.2099142857143,696.5567000000001,264.9502714285714,0.0001484732491942232,764.2386714285715,
71 days,255.37807500000002,699.5680500000001,264.025875,0.00023091202935267844,653.3146000000002,
71 days,237.6887625,703.0340499999999,262.587375,0.00022703687585781378,676.4242375000001,
72 days,230.80154444444446,682.8118777777777,265.7277555555555,0.0001822843179048112,743.1102999999999,
72 days,233.1130714285714,679.9150142857143,264.8892571428571,0.00014985677904003877,749.9631285714286,
72 days,251.67471249999997,677.5455249999999,263.959575,0.00023252817332052183,638.8857625,
72 days,234.588425,675.2590625,262.4900375,0.00023234516300267214,654.8954749999999,
73 days,233.82407777777775,727.9496111111112,265.8623888888889,0.00018288472738407327,774.3729333333334,
73 days,235.42360000000002,725.3008428571428,265.01702857142857,0.0001514196553473473,779.9073,
73 days,257.52845,723.04395,264.07631250000003,0.0002339914388049209,664.3987999999999,
73 days,239.0478625,720.66275,262.630275,0.0002280650576020884,685.97755,
74 days,237.69213333333335,786.1783666666665,266.0340777777778,0.00018280467278683528,814.837,
74 days,238.44062857142856,785.4632,265.1840428571428,0.0001527519433470199,819.4898428571429,
74 days,264.1226375,784.5559375,264.233475,0.00023473399143879862,699.2947625,
74 days,245.8795,781.3656374999999,262.83304999999996,0.00021828537542979817,731.3890375000001,
75 days,239.58644444444442,796.4295999999999,266.11863333333326,0.00017423883088266801,834.9257333333333,
75 days,240.96068571428572,798.2561285714286,265.32172857142854,0.0001398646190424869,852.5234428571429,
75 days,273.1444625,802.7485250000001,264.504,0.00018683934655368167,760.069575,
75 days,284.2580125,816.2914625,263.59707499999996,0.000123453542923001,913.4077500000001,
76 days,238.44388888888892,794.7967777777778,266.0668888888889,0.0001815438128803884,822.6343222222223,
76 days,239.15509999999995,795.1897,265.22394285714284,0.00015118906703969682,829.0171285714285,
76 days,266.4072875,795.9116000000001,264.2901375,0.00022805101773391186,711.94195,
76 days,250.21684999999997,798.7154499999999,262.979,0.00020214531316503938,764.4409375,
77 days,237.04021111111115,774.8744888888889,266.0059333333333,0.00018208418141172765,808.1443777777777,
77 days,238.00385714285716,775.2219142857142,265.1599857142857,0.00015195769473182628,813.7509,
77 days,263.2857125,775.5642374999999,264.21375,0.00023396959902157705,694.8706,
77 days,244.68125,776.1045124999999,262.8087375,0.00022048520613848348,725.9307625,
78 days,240.14133333333334,827.5501111111112,266.1389555555556,0.00018484606501633532,839.9128666666667,
78 days,240.15109999999999,824.094357142857,265.2768857142857,0.00015516031011565044,841.7029857142858,
78 days,267.51977500000004,820.6199625,264.311825,0.00023779156110772205,716.958175,
78 days,248.23937500000002,816.3849,262.89675,0.0002233784617444728,745.865975,
79 days,236.29798888888888,758.901388888889,265.9734222222222,0.0001797826117412099,800.4354222222223,
79 days,237.61024285714288,763.2880857142857,265.13847142857145,0.00015016423011688182,808.6408428571428,
79 days,262.7728375,767.5920375000001,264.2021375,0.00023185114003668815,692.2504125,
79 days,244.70837500000002,772.6973125,262.80920000000003,0.00021850057626000908,726.0169999999999,
80 days,235.47414444444445,752.3477,265.93594444444443,0.00018276464548822767,791.6260333333333,
80 days,236.7245857142857,750.7558,265.0890857142857,0.00015180396919339746,796.9197714285714,
80 days,260.4092125,749.0622750000001,264.1451,0.0002339259194548769,679.587475,
